,Year Graduated,Gender,Marital Status,Diploma Type,Defaulted,Salary,Fee,Savings ($)
0,2004,Male,Single,Standard Diploma,Yes,125000,10869,"$86,000"
1,2005,Male,Married,College Prep Diploma,No,100000,10869,"$116,000"
2,2006,Female,Single,Standard Diploma,Yes,70000,10869,"$52,000"
3,2007,Male,Married,Standard Diploma,No,120000,10869,"$76,000"
4,2006,Female,Divorced,Standard Diploma,Yes,95000,11948,"$52,000"
5,2007,Female,Married,College Prep Diploma,No,60000,11948,"$67,000"
6,2006,Male,Divorced,Standard Diploma,No,160000,11724,"$120,000"
7,2006,Female,Single,College Prep Diploma,Yes,85000,11724,"$82,000"
8,2007,Male,Married,Standard Diploma,No,75000,11724,"$86,000"
9,2005,Female,Single,Standard Diploma,Yes,90000,12717,"$30,000"
10,2006,Female,Single,Standard Diploma,Yes,95000,12717,"$16,000"
11,2007,Female,Married,Standard Diploma,No,40000,12717,"$52,000"
12,2007,Male,Single,Standard Diploma,Yes,110000,12717,"$120,000"
13,2007,Male,Married,College Prep Diploma,Yes,85000,12055,"$32,000"
14,2008,Female,Divorced,Standard Diploma,No,75000,12055,"$67,000"
15,2009,Male,Married,College Prep Diploma,Yes,90000,12055,"$40,000"
16,2004,Male,Divorced,Standard Diploma,Yes,95000,10960,"$6,000"
17,2005,Female,Single,Standard Diploma,Yes,60000,10960,"$36,000"
18,2006,Male,Married,Standard Diploma,No,140000,20960,"$72,000"
19,2007,Female,Single,Standard Diploma,Yes,85000,10960,"$46,000"
20,2008,Male,Single,Standard Diploma,Yes,75000,10960,"$32,000"
21,2004,Male,Married,Standard Diploma,Yes,90000,11691,"$67,000"
22,2005,Female,Single,Standard Diploma,Yes,35000,11691,"$40,000"
23,2006,Male,Married,College Prep Diploma,No,75000,11691,"$82,000"
24,2007,Female,Divorced,Standard Diploma,No,110000,11691,"$146,000"
25,2004,Male,Married,Standard Diploma,Yes,75000,11326,"$57,000"
26,2005,Female,Divorced,College Prep Diploma,No,90000,11326,"$64,000"
27,2006,Male,Single,Standard Diploma,Yes,85000,11326,"$52,000"
28,2007,M,Married,Standard Diploma,Yes,75000,11326,"$46,000"
29,2004,Male,Single,Standard Diploma,Yes,110000,10962,"$52,000"
30,2005,Male,Single,Standard Diploma,No,60000,10962,"$57,000"
31,2006,Male,Married,Standard Diploma,Yes,120000,10962,"$60,000"
32,2007,Female,Divorced,Standard Diploma,No,85000,10962,"$12,000"
33,2008,Male,Married,Standard Diploma,Yes,75000,10962,"$16,000"
34,2008,Female,Divorced,Standard Diploma,No,90000,11692,"$37,000"
35,2008,M,Single,Standard Diploma,Yes,65000,12058,"$26,000"
36,2009,Male,Married,College Prep Diploma,Yes,75000,12058,"$52,000"
37,2008,Female,Single,Standard Diploma,No,110000,12059,"$46,000"
38,2009,Male,Single,College Prep Diploma,Yes,75000,12059,"$32,000"
39,2004,Female,Married,College Prep Diploma,Yes,90000,11693,"$67,000"
40,2005,Female,Single,Standard Diploma,Yes,65000,11693,"$10,000"
41,2006,Male,Married,Standard Diploma,No,75000,11693,"$6,000"
42,2007,Female,Divorced,Standard Diploma,Yes,60000,11693,"$16,000"
43,2008,Male,Married,College Prep Diploma,No,160000,11693,"$62,000"
44,2009,Male,Divorced,Standard Diploma,Yes,85000,11693,"$46,000"
45,2005,Female,Single,College Prep Diploma,Yes,75000,10963,"$32,000"
46,2006,Male,Married,Standard Diploma,No,90000,10963,"$67,000"
47,2007,Female,Single,Standard Diploma,Yes,65000,10964,"$10,000"
48,2008,Male,Single,College Prep Diploma,Yes,75000,10964,"$82,000"
49,2004,Female,Married,Standard Diploma,No,110000,10966,"$103,000"
50,2005,Male,Divorced,Standard Diploma,Yes,75000,10966,"$37,000"
51,2005,Female,Married,Standard Diploma,Yes,90000,12062,"$24,000"
52,2006,Female,Divorced,Standard Diploma,No,65000,12062,"$52,000"
53,2007,Male,Single,College Prep Diploma,No,75000,12062,"$46,000"
54,2008,Female,Married,Standard Diploma,Yes,65000,12062,"$32,000"
55,2009,Male,Single,College Prep Diploma,No,75000,12062,"$20,000"
56,2004,Male,Single,Standard Diploma,Yes,100000,10967,"$12,000"
57,2005,Male,Married,Standard Diploma,Yes,75000,10967,"$16,000"
58,2008,Female,Single,Standard Diploma,Yes,90000,10968,"$37,000"
59,2008,Male,Married,College Prep Diploma,No,65000,10968,"$16,000"
60,2004,Male,Divorced,Standard Diploma,Yes,85000,11699,"$52,000"
61,2005,Female,Married,College Prep Diploma,No,90000,11699,"$46,000"
62,2006,Male,Divorced,Standard Diploma,Yes,65000,11699,"$32,000"
63,2007,Male,Single,College Prep Diploma,Yes,75000,11699,"$67,000"
64,2008,Female,Married,Standard Diploma,No,110000,11699,"$60,000"
65,2009,Male,Single,Standard Diploma,No,75000,11699,"$6,000"
66,2007,Female,Single,College Prep Diploma,Yes,90000,12065,"$16,000"
67,2008,Female,Married,Standard Diploma,No,65000,12065,"$22,000"
68,2009,Male,Divorced,Standard Diploma,Yes,75000,12065,"$46,000"
69,2004,Female,Married,Standard Diploma,Yes,65000,11700,"$32,000"
70,2005,Female,Divorced,Standard Diploma,No,75000,11700,"$67,000"
71,2006,Male,Single,College Prep Diploma,No,100000,11700,"$30,000"
72,2007,Male,Married,Standard Diploma,Yes,75000,11700,"$82,000"
73,2008,Female,Single,College Prep Diploma,No,90000,11700,"$93,000"
74,2009,Male,Single,Standard Diploma,Yes,65000,11700,"$37,000"
75,2004,Female,Married,Standard Diploma,Yes,85000,11335,"$24,000"
76,2005,Male,Single,Standard Diploma,No,90000,11335,"$52,000"
